Question,Type,Options
Your Name,Short answer,
Projects you manage,Short answer,
Date,Date,
How do you currently record/track project progress?,Checkboxes,"Mental / experience,Paper / notes,WhatsApp,Excel / Sheets,Photos,Other"
How do you decide work is on track vs behind?,Checkboxes,"Schedule / plan,Milestones,Site inspection,Vendor report,Experience / guess"
"Do you track your BUDGET vs your forecast cost to complete? If so, how?",Paragraph,
How do you estimate the forecast cost to complete for your project?,Paragraph,
Do you track committed costs / signed contracts per package?,Paragraph,
"How do you track VARIATIONS on your packages, and what flags a problem?",Paragraph,
Do you track monthly cash flow (planned vs actual spend)?,Multiple choice,"Yes, tracked,No, we rely on memory,Partially"
How do you know how much has been paid out vs committed?,Paragraph,
How do you know a project is on track vs behind?,Checkboxes,"Schedule / plan,Milestones,Site inspection,Vendor report,Experience / guess"
Do you track your BASELINE schedule vs ACTUAL progress and forecast completion?,Paragraph,
How do you know your forecast completion date vs the baseline?,Paragraph,
Do you know your CRITICAL PATH or which activities will delay completion?,Paragraph,
How do you track delays and their impact on the completion date?,Paragraph,
How do you currently flag a problem or risk?,Paragraph,
"When you log a risk, do you rate its PROBABILITY and IMPACT?",Paragraph,
Do you track risk PRE-TREATMENT vs POST-TREATMENT (after mitigation)?,Paragraph,
"How do you decide a risk is High, Medium, or Low?",Paragraph,
Do you physically track where the contract file is? How?,Paragraph,
Walk me through request to payment approval. Who approves? How long?,Paragraph,
What payment information do you track per project?,Checkboxes,"Mobilization,Certified,Paid,Outstanding,Retention,Variations"
Which documents do you generate for a project?,Paragraph,
How do you submit site photos / progress evidence?,Paragraph,
What do you need from the office / Contract Lead to work more efficiently?,Paragraph,
"Any tool, report or process you wish you had?",Paragraph,
