Question,Type,Options
Your Name,Short answer,
Role / Title,Short answer,
Site(s) you supervise,Short answer,
Date,Date,
Walk me through your typical day on site.,Paragraph,
How do you record the work done each day?,Checkboxes,"Mental / memory,Paper / notes,WhatsApp,Photos,App,Other"
How do you know the work is on schedule or behind?,Paragraph,
Do you track actual progress vs the planned schedule?,Paragraph,
How do you capture site photos / evidence?,Paragraph,
Are your reports time-stamped / dated?,Multiple choice,"Always,Sometimes,Rarely"
How do you check the quality of work and materials?,Paragraph,
Do you flag potential schedule delays or risks to the PM?,Paragraph,
How do you flag a safety concern or problem on site?,Paragraph,
How do you request materials or equipment?,Paragraph,
What do you need from the PM / office to do your job better?,Paragraph,
"Any tool, report or process you wish you had?",Paragraph,
