Question,Type,Options
Your Name,Short answer,
Role / Title,Short answer,
Projects / accounts you handle,Short answer,
Date,Date,
How do you record payments received per project?,Paragraph,
What payment info do you track per project?,Checkboxes,"Contract value,Mobilization,Certified,Paid,Outstanding,Retention,Variations"
Do you track BUDGET vs FORECAST cost to complete for each project?,Paragraph,
How is the forecast cost to complete produced and updated?,Paragraph,
Do you track committed costs (signed contracts) vs actual spend?,Paragraph,
How do you monitor cash flow (planned vs actual) for projects?,Paragraph,
How do you track variations and their effect on budget?,Paragraph,
Where do you keep these figures today?,Checkboxes,"Excel / Sheets,Accounting software,Google Drive,Paper,Other"
How do you know what is outstanding on a project?,Paragraph,
Walk me through a requisition from request to payment. Who approves? How long?,Paragraph,
"When is retention released, and how do you track that?",Paragraph,
Do you monitor when retention becomes due for release?,Multiple choice,"Yes, tracked,No, we rely on memory,Partially"
"What financial reports do you produce, and for whom?",Paragraph,
"Any tool, report or process you wish you had?",Paragraph,
